pdes,tp,q,e,w,om,i,M1,K1,orbit_id
55P,2450872.597734112361,0.976427915467506,0.905552720972412,172.5002736828059,235.270989149082,162.486575379434,10.,25.0,JPL J985/69
56P,2457587.582114051862,2.505870858322732,.507297010937097,44.21746448428298,346.0376128407566,8.147198343316431,9.3,14.75,JPL K162/4
57P,2457165.012217375622,1.725652252081287,.4998100438785475,115.1317347410379,188.8087724831265,2.848601974231692,15.8,4.5,JPL K213/30
57P-A,2452486.651241626438,1.72939044107225,0.499040120360139,115.2325343233014,188.9256753142995,2.84481020036925,8.5,26.0,JPL K023/3
58P,2458996.924110753269,1.377427208980303,.6626073687252968,200.4431895498961,159.0787375594129,13.10967944686458,9.1,26.75,JPL K201/4
59P,2454900.122219916137,2.351606720811735,.4763782272378256,127.7454662545714,312.8602150427647,9.342960626491518,10.4,15.25,JPL K182/6
60P,2456061.389255260299,1.619566766899144,.538536691475378,216.4936690753554,267.6612927793719,3.608949186300423,9.3,25.,JPL K183/6
61P,2457297.632469131696,2.114405618782886,.4254979088555729,221.9240102139029,163.0195890636435,6.00638087167443,13.9,7.25,JPL K223/8
62P,2455742.881637679540,1.383647861440168,.5974667355086467,30.22849459508906,90.30811935155437,9.712484214258977,8.1,31.5,JPL K234/2
63P,2456393.331340104354,1.950577151905188,.6509190323024351,169.0295202220291,358.0018642381609,19.77997964011996,6.5,27.,JPL 31
64P,2458426.411985327857,1.393350481464335,.6873201671418198,97.14419761015853,300.0009789922836,8.948393430700706,14.5,6.,JPL K183/8
65P,2458043.320151602307,2.910058034745291,.2499710813543251,213.5450725173708,62.01746017781729,9.18530749034997,10.5,8.5,JPL K171/25
66P,2458258.968947685299,1.285451447234088,.7865681713017859,257.342734110419,21.99985095509755,18.6689713312349,15.7,7.,JPL K184/8
67P,2457247.588657805554,1.243265644018087,.6409081297452731,12.79825003360463,50.13557349079007,7.040295031286642,12.9,7.5,JPL K213/5
68P,2458799.324657096617,1.762060137215003,.6403445374549595,153.8357829554133,175.2997106152507,11.18434035868971,11.2,11.75,JPL K192/3
69P,2458560.978623332055,2.280444941347589,.4136076348447155,343.6660523745314,104.8533322271144,22.04104309478001,17.3,4.5,JPL K192/6
70P,2456951.181375233513,2.006600604456861,.4539514237931867,1.957936152016382,119.2706596543114,6.60014048121247,12.2,11.75,JPL 65
71P,2457934.773414055919,1.586459177135554,.4944896355366223,208.9488926940616,59.4434574183451,9.445181604441487,11.1,14.25,JPL K232/27
72P,2456850.196428672613,.7839129259392238,.8193949688335717,337.9308169396103,36.03506114572764,9.172845610188615,17.6,19.5,JPL K236/6
73P,2457829.341814346608,.972178856511434,.6855224213052875,199.38905381,69.66179724003742,11.23695257587073,14.3,8.,JPL K222/30
73P-B,2453894.424427309021,0.9391110367239190459542,0.6932855208263886126474,198.7994525904428,69.89247679701043,11.396951947033860719216,15.2,8.,JPL K061/24
73P-C,2455851.399686348570,.9428566311694347,.6922258013072282,198.8705914205202,69.84321690348189,11.37915705677313,13.2,9.,JPL K114/1
73P-E,2451937.953401424047,0.937436994548815,0.6938774627627,198.7732444491985,69.91710448172594,11.4056211759106,10.4,15.0,JPL K013/11
73P-G,2453894.596262955670,0.939183930115084,0.693412971192622,198.7746010901946,69.90839960829794,11.3895622899332,16.8,8.0,JPL 19
73P-H,2453894.779987816600,0.939169508544489,0.693565806671118,198.7738044969675,69.9078914114573,11.3910638961291,20.2,8.0,JPL 14
73P-K,2453894.722413499868,0.939076843864193,0.693543485158215,198.7896438621016,69.89734340284451,11.3910646244732,20.9,10.0,JPL 4
73P-L,2453894.828699747282,0.939089394354414,0.694735674965028,198.7475944367357,69.93678268425323,11.3987127952321,20.9,10.0,JPL 7
73P-M,2453894.757155731472,0.939096814670938,0.693940938277251,198.7775561198109,69.90530158146959,11.3943614399649,21.0,15.0,JPL 11
73P-N,2453894.770428668092,0.939254358392007,0.692288993783599,198.7643511012408,69.89730281276252,11.3809412138733,20.4,10.0,JPL 14
73P-Q,2453894.179447568083,0.939715748283575,0.698647244447971,198.4951921977602,70.13788751331991,11.4193580973025,21.5,7.5,JPL 3
