pdes,tp,q,e,w,om,i,M1,K1,source
44P,2457105.688442801079,2.117456129109866,.4267119777631973,58.33335238048605,286.4705058249892,5.895511310987997,13.6,6.25,ORB
45P,2457753.765747306276,.5325129824904962,.8239728740011473,326.2819404679929,88.9817832531519,4.248165440352516,15.1,24.75,ORB
46P,2458465.431202202407,1.055355767895463,.6587597216166052,356.3410943543136,82.15763882934478,11.74759274314818,16.5,4.5,ORB
47P,2454863.887274947606,2.801726868399602,.318867968945387,357.8326762428341,356.9839966955429,13.05263639371695,11.6,7.5,ORB
48P,2455833.469759048695,2.302418509482578,.3678117401626815,207.8266217590061,117.2884957292427,13.66068838516227,9.3,15.75,ORB
49P,2455853.576466355146,1.423831532619747,.6004056650597324,332.7876924849961,118.8779145108195,19.04992263042993,14.2,5.75,ORB
50P,2454405.963311358784,1.922161808831259,.5298191651919552,49.01451533157994,355.3247745531997,19.16230981680282,14.1,8.,ORB
51P,2457247.185701714257,1.699602249252703,.542437041421476,269.2756022819647,83.70082476433753,5.424389279818731,11.8,14.,ORB
51P-A,2452066.193347687348,1.568096864999769,.5620663599153678,233.587839407905,119.1877795469232,8.654956945930117,10.6,15.,ORB
51P-D,2454631.567543506659,1.646282145601325,.5524980225643705,269.1090870083974,84.56410029483207,5.408234874963838,8.6,20.,ORB
52P,2456724.004058953962,1.77308689074043,.54041173427607,139.5985543698658,336.8517088488407,10.23168862962411,12.1,14.25,ORB
53P,2457509.299989079199,2.426218348989635,.5510744634278288,134.2654652081746,148.8977993028672,6.611254102620895,9.9,10.,ORB
54P,2455164.070121110307,2.1717640349767100005351,0.4270474945217546114406,1.933331420129209,358.8600316230779,6.0671607093682196065742,13.1,14.,ORB
55P,2450872.597734112361,0.976427915467506,0.905552720972412,172.5002736828059,235.270989149082,162.486575379434,10.,25.0,ORB
56P,2457587.578312284164,2.505862998058844,.5072991108712617,44.21693188176982,346.0380370030389,8.147206653384872,9.4,14.5,ORB
57P,2457164.755242494970,1.728599092383265,.4992842499716839,115.2057010295702,188.8007906759463,2.848460661403341,14.5,10.25,ORB
57P-A,2452486.651241626438,1.72939044107225,0.499040120360139,115.2325343233014,188.9256753142995,2.84481020036925,8.5,26.0,ORB
58P,2458996.924424095023,1.377428679180437,.6626107400674749,200.4434551691668,159.0787052555178,13.10968051908232,9.3,25.75,ORB
59P,2454900.116642990156,2.351607621257864,.4763780377856204,127.7450117838551,312.8604406817258,9.342933810173106,10.5,15.,ORB
60P,2456061.389255260299,1.619566766899144,.538536691475378,216.4936690753554,267.6612927793719,3.608949186300423,9.3,25.,ORB
61P,2457296.469395121934,2.110519378969819,.4266921436652285,221.8295259706238,163.0891024911736,6.007764953028679,13.4,8.,ORB
62P,2455742.751966276901,1.384048020352056,.5978728473229802,30.11864631352202,90.36358529030574,9.710109103879912,7.9,31.25,ORB
63P,2456393.331340104354,1.950577151905188,.6509190323024351,169.0295202220291,358.0018642381609,19.77997964011996,6.5,27.,ORB
64P,2458426.411981207237,1.39335149361793,.6873199595898266,97.14416399553535,300.0009686531288,8.948396545424007,14.4,6.25,ORB
65P,2458043.015878705090,2.910263085882775,.2503908752722527,213.4810697604877,62.01737390239089,9.184139333410439,10.9,7.75,ORB
66P,2458258.968947685299,1.285451447234088,.7865681713017859,257.342734110419,21.99985095509755,18.6689713312349,15.7,7.,ORB
67P,2459520.561658699180,1.210613814968979,.649713733698611,22.13089737728478,36.33518841638918,3.871753825377044,13.1,9.,ORB
68P,2458799.422706332434,1.76205306623601,.6403325999028817,153.8398902534949,175.3003845692082,11.18350804840104,11.2,11.75,ORB
69P,2458560.923810981883,2.28012398386599,.4136650628115652,343.6689081509768,104.8536963588911,22.04227618096902,17.3,4.5,ORB
70P,2454378.607295753530,2.011866172665057,.4526787111295181,2.015370868059885,119.2591141673185,6.596625935138243,11.5,13.5,ORB
71P,2457934.704085862553,1.58621399332349,.4943781414695106,208.9167867411067,59.44627994746336,9.445340590021177,11.7,12.,ORB
72P,2456850.137219423717,.7841612055380167,.8191545266363583,337.8580424566273,36.10919645775216,9.169283869658974,18.3,33.,ORB
